M/N/K,Performance(M),Performance(N),Performance(K),Performance(M)max,Performance(N)max,Performance(K)max
3792,,79.122239,84.061628,,81.224380,87.323311
3800,,78.804531,,,81.668755,
3808,134.281816,76.124885,80.316085,138.696274,82.616737,87.776474
3816,,77.991000,,,81.345955,
3824,,75.918952,81.211136,,81.405685,85.724365
3832,,79.478414,,,91.435799,
3840,119.544083,76.555143,72.374278,127.769615,80.879356,74.815697
3848,,78.691226,,,81.744972,
3856,,80.062929,78.784356,,86.208168,82.470314
3864,,79.451069,,,82.894966,
3872,134.045911,77.911620,79.303068,140.543411,83.023476,83.475204
3880,,76.970187,,,82.653015,
3888,,78.206044,81.020182,,82.820930,87.599144
3896,,78.455300,,,83.994347,
3904,135.034578,76.234107,77.639917,139.749390,83.249222,80.886230
3912,,79.351659,,,83.767555,
3920,,78.385472,80.795223,,82.525215,85.316063
3928,,79.158112,,,82.696510,
3936,134.159233,77.404408,78.201344,139.750122,85.837975,81.092850
3944,,76.856460,,,80.914810,
3952,,78.991721,81.051356,,85.731514,85.267029
3960,,79.461702,,,89.204285,
3968,123.621467,77.036528,72.644346,132.421768,82.699295,76.690323
3976,,78.983073,,,84.883842,
3984,,78.500300,79.230711,,84.663757,83.187294
3992,,76.748823,,,81.715988,
4000,131.740989,77.778689,74.169839,136.590225,86.264740,77.028801
4008,,79.412540,,,83.381485,
4016,,78.605232,76.961738,,86.253105,82.111465
4024,,78.305590,,,81.907295,
4032,132.855588,76.245399,75.000810,137.344971,80.606781,79.229080
4040,,79.395467,,,95.334343,
4048,,77.445554,77.205045,,82.145897,83.893219
4056,,78.867591,,,82.571075,
4064,133.434899,78.883696,75.062523,140.523804,84.118111,81.656189
4072,,78.883832,,,85.689316,
4080,,79.069786,74.975507,,86.185905,77.325447
4088,,77.734738,,,83.398727,
4096,82.787968,76.439941,60.830317,87.587738,82.847359,62.596764
