xxx 8 16 24 32 40 48 56 64 72 80 88 96 104 112 120 128 136 144 152 160 168 176 184 192 200 208 216 224 232 240 248 256
176 19.803095 29.855808 32.479816 38.190819 46.246487 38.561256 28.710356 40.542778 47.907452 43.447403 28.742794 42.865841 24.353964 44.693344 28.400719 42.268002 43.392262 40.871651 42.291634 39.216232 36.340515 35.887573 34.082840 32.760376 33.842171 31.514067 32.441269 34.435349 31.935823 34.514599 29.317614 26.603371
184 16.243654 24.232447 40.082779 22.084694 39.705090 33.458347 38.331028 29.252056 29.375029 33.352215 27.586699 25.497272 30.839365 31.813761 31.351810 32.200378 28.702435 18.450226 28.691690 31.508871 27.904568 31.528013 30.573812 29.803604 16.389151 30.680925 35.250317 32.240303 20.447483 30.830023 32.124329 24.488821
192 15.570198 23.498814 35.310345 25.510714 21.552181 30.628115 20.693729 15.760918 26.268826 41.826649 34.401997 41.968170 31.261194 35.681217 33.809490 33.103447 35.349255 37.740589 29.081827 32.216454 30.055696 34.443321 42.451786 39.393032 43.590874 32.586784 19.097307 28.336870 29.717831 21.211563 34.583996 33.934441
200 16.566578 13.334444 28.702641 23.777679 34.557236 28.392288 34.166134 30.009613 18.526970 26.643133 17.811989 28.019789 25.845304 27.710426 23.710485 27.494362 25.740528 30.453630 24.004639 30.942688 25.980505 22.726099 28.650444 33.998249 31.125069 29.202614 39.627464 36.491295 37.657631 31.391834 31.233299 20.263664
208 16.166327 24.318596 36.430511 29.868963 36.868538 32.357018 36.633362 21.589361 28.371128 27.627888 27.621969 22.001610 24.782852 25.749117 22.338982 37.428482 34.848167 37.197289 39.500599 38.230465 37.310028 23.357367 33.035683 31.610943 30.057802 22.116236 32.535851 37.878754 37.423542 33.798698 33.076443 32.967018
216 13.370474 17.249813 40.725903 29.633442 39.525249 34.594597 33.309608 30.696123 25.310608 29.846106 28.001944 28.943512 28.077837 29.138210 27.990997 32.618774 31.184513 15.824498 24.793888 22.339436 16.405506 24.629578 32.749603 27.655190 34.969501 36.799988 36.524754 21.569378 35.508900 27.546188 30.728060 33.794552
224 12.789951 15.358903 37.879429 25.997389 35.524227 29.371431 36.658325 28.926554 31.544069 27.424515 20.033859 23.017641 24.045300 24.362013 28.641817 30.409925 24.438080 25.803354 29.031551 31.174704 27.799240 23.934383 37.358757 37.072025 24.704098 34.253033 35.580597 34.614162 27.608278 33.885059 22.191004 34.639732
232 18.890585 27.148396 44.020683 30.616957 44.734867 35.160671 35.027512 35.384396 32.866665 28.827486 29.612520 19.707815 24.942616 27.564552 20.392128 24.802265 24.814844 23.260250 20.928673 22.014519 32.471645 29.498629 33.284317 28.217587 30.319315 25.758377 31.195848 17.862532 34.359764 30.136395 26.251524 23.426487
240 15.714520 22.767698 28.095642 24.743862 32.494030 27.682989 26.408504 24.018858 22.518421 20.272839 20.780077 37.729668 33.618862 36.764507 33.122749 26.929888 26.927784 25.806259 25.123158 30.837923 34.252594 33.028385 32.419899 35.018124 30.374941 28.934435 32.583637 31.462700 29.774406 34.678532 34.686909 24.086372
248 16.514067 25.581846 38.098164 27.996895 37.663734 32.423599 36.443275 25.240929 29.665855 28.240385 27.430737 30.248898 25.298637 26.205257 23.816147 30.784449 36.136238 35.601635 33.979836 31.056292 26.845673 25.252390 25.340313 31.889629 33.791458 27.895609 30.139616 35.127254 35.104691 28.270834 27.960772 35.463993
256 19.732151 33.485939 46.704674 38.743851 48.351303 40.192326 33.388931 28.637350 28.145058 29.442209 23.978056 25.922684 22.607153 39.507805 36.989151 33.094643 33.643463 31.670919 32.723705 28.572824 27.222740 28.391569 29.196987 37.296261 38.216812 36.952374 35.560097 32.815254 35.497387 34.963520 33.859314 29.704973
