M/N/K,Performance(M),Performance(N),Performance(K),Performance(M)max,Performance(N)max,Performance(K)max
2232,,55.560413,,,97.465439,
2240,62.413786,49.072628,83.068509,103.642548,86.818161,120.832481
2248,,59.618050,,,94.004601,
2256,,71.888523,85.472751,,107.562927,133.545197
2264,,56.211985,,,90.019867,
2272,62.522351,47.066618,62.809852,113.755310,91.959229,83.233109
2280,,68.435532,,,97.132156,
2288,,63.541892,69.993688,,96.749969,99.474228
2296,,61.668744,,,99.858330,
2304,54.360481,47.545635,75.176814,88.469826,85.609657,111.475548
2312,,66.822837,,,91.738602,
2320,,69.882922,85.691718,,97.706131,114.710823
2328,,62.356808,,,95.723183,
2336,70.129018,44.621746,94.453188,118.554199,74.235786,121.783852
2344,,59.886485,,,91.869476,
2352,,59.675643,92.719478,,88.590530,147.858978
2360,,66.097679,,,101.619423,
2368,55.916346,56.803357,86.290006,79.076790,93.341751,122.606934
2376,,67.880285,,,94.152603,
2384,,66.124658,90.727245,,102.377769,131.394104
2392,,67.706150,,,104.431854,
2400,62.450822,46.535290,91.871160,107.739296,73.176567,128.158905
2408,,70.688251,,,99.543228,
2416,,66.141501,90.520809,,98.274353,120.438591
2424,,73.473587,,,93.317345,
2432,59.014715,67.624933,71.047775,97.838959,99.674683,97.828026
2440,,76.071870,,,105.145172,
2448,,72.410150,70.300974,,101.595642,131.225021
2456,,79.570486,,,103.871284,
2464,68.453139,56.281019,96.401611,114.215538,88.577209,124.995888
2472,,74.866406,,,94.821640,
2480,,56.333316,83.490093,,80.280563,129.480392
2488,,67.303978,,,100.845848,
2496,59.772736,46.693884,97.362047,107.707535,101.841827,135.868652
2504,,66.575796,,,100.420990,
2512,,67.712898,94.359857,,99.073135,141.303101
2520,,73.259971,,,104.928741,
2528,61.879110,69.959132,85.354172,91.494484,100.195381,141.749817
2536,,64.963365,,,93.164833,
2544,,67.646871,98.723394,,97.815254,134.754303
2552,,72.245263,,,106.233788,
2560,52.877466,42.915384,67.440214,77.525375,79.046562,94.529213
2568,,69.087975,,,96.804085,
2576,,72.929751,95.558373,,99.055038,127.348793
2584,,81.285112,,,110.844528,
2592,57.565588,54.825931,76.568483,113.925400,100.957001,123.594162
2600,,61.944835,,,79.401939,
2608,,61.749778,80.875845,,81.682549,118.655731
2616,,70.214273,,,98.119514,
2624,64.476566,51.754612,84.936880,101.587532,97.741913,117.045639
2632,,70.324046,,,106.082451,
2640,,77.981514,85.811624,,102.204529,136.545609
2648,,73.857996,,,101.815453,
2656,68.649002,52.684634,87.254972,118.247009,102.745529,126.088036
2664,,58.828924,,,84.655037,
2672,,58.535477,90.361532,,98.717224,138.586609
2680,,75.730896,,,105.169083,
2688,56.683837,55.185006,85.306348,82.599792,96.481598,117.720261
2696,,68.161541,,,93.053391,
2704,,68.200034,90.688368,,104.471138,133.430145
2712,,63.017121,,,100.214806,
2720,62.072985,73.217536,98.040977,101.479767,98.980095,125.688934
2728,,70.836094,,,99.860878,
2736,,63.245876,75.269468,,89.000984,112.586021
2744,,80.226388,,,97.725143,
2752,67.804301,54.047389,83.077982,125.628044,99.310684,117.692017
2760,,67.069203,,,103.308258,
2768,,73.949106,106.889269,,100.511620,145.090790
2776,,75.219178,,,103.452492,
2784,69.965119,50.791636,85.581427,115.377068,91.504990,129.772430
2792,,64.122443,,,75.093933,
2800,,70.472590,84.921424,,88.715233,147.481186
2808,,69.584907,,,97.822029,
2816,61.436630,59.012321,79.561413,98.176231,97.464218,130.218048
2824,,75.078133,,,106.609879,
2832,,66.277045,94.809458,,95.327286,123.924614
2840,,76.974049,,,101.275299,
2848,64.704626,53.367975,87.732769,110.139938,74.540504,147.613861
2856,,80.081766,,,99.702034,
2864,,77.959948,79.450787,,106.295570,131.296860
2872,,66.301822,,,85.477089,
2880,67.157401,67.014437,99.712110,110.889839,97.087555,147.147369
2888,,84.598500,,,104.439247,
2896,,69.748647,94.067206,,105.462349,146.219299
2904,,81.121618,,,106.050003,
2912,66.881990,63.773726,96.190299,113.158035,97.530060,140.448837
2920,,84.012360,,,106.709587,
2928,,81.286170,104.100279,,104.343651,144.382446
2936,,70.161799,,,106.464661,
2944,62.563159,58.782929,97.412986,111.138771,89.226700,139.904495
2952,,77.560536,,,101.064156,
2960,,79.861749,95.382821,,100.221741,130.948730
2968,,82.929924,,,106.197533,
2976,55.054606,56.548472,89.845638,88.263824,86.937408,125.500847
2984,,77.200591,,,96.069954,
2992,,81.516685,105.001022,,108.568314,145.256561
3000,,76.630604,,,107.271217,
3008,61.292344,50.069440,106.499410,98.300407,86.486389,157.174225
3016,,77.235781,,,94.311447,
3024,,84.857590,96.684149,,101.870110,160.434143
3032,,78.109420,,,95.894119,
3040,73.217859,67.260572,104.618933,112.539040,88.676903,147.375305
3048,,83.626366,,,102.220680,
3056,,73.867620,83.437644,,97.841942,159.915207
3064,,87.938639,,,105.342194,
3072,49.657302,50.198042,77.736480,86.671875,74.006195,106.427361
3080,,80.734833,,,98.690697,
3088,,74.209013,110.448636,,102.308586,132.302673
3096,,63.880651,,,96.999130,
3104,75.661485,70.756989,87.358235,112.008583,94.085999,124.498009
3112,,80.406836,,,98.011612,
3120,,66.695782,87.104056,,103.464905,122.354256
3128,,80.568883,,,97.793114,
3136,77.017865,62.695892,71.980588,115.471413,88.747688,112.830460
3144,,82.616510,,,104.624916,
3152,,77.913584,100.270521,,104.067268,144.598038
3160,,83.599554,,,102.721680,
3168,78.126424,77.773289,96.313245,128.839844,100.529671,120.577194
3176,,75.579062,,,93.971100,
3184,,65.241963,94.999246,,95.553764,121.408829
3192,,71.851799,,,101.416901,
3200,70.927992,65.114966,77.114686,117.510773,89.554329,107.949791
3208,,75.602011,,,104.952133,
3216,,76.841134,90.877529,,97.487633,133.259888
3224,,74.606273,,,94.187019,
3232,67.107892,66.759162,97.058721,123.703346,106.315109,132.160812
3240,,78.753383,,,102.076042,
3248,,69.226614,78.050372,,91.014084,100.811752
3256,,74.834551,,,104.489006,
3264,65.548815,71.197129,75.844877,110.345421,94.739990,87.734810
3272,,75.024346,,,94.194687,
3280,,79.970978,81.408551,,100.202705,114.221695
3288,,81.521019,,,106.134735,
3296,72.084581,68.463202,87.639115,100.112442,96.877289,122.723732
3304,,73.253500,,,93.476501,
3312,,67.612335,76.005175,,99.198914,107.982544
3320,,72.232332,,,97.157707,
3328,71.306180,71.684899,83.463749,116.897728,93.922066,108.737778
3336,,79.100674,,,104.063965,
3344,,80.253956,87.067854,,93.490799,127.524506
3352,,72.337843,,,92.106613,
3360,68.193174,64.980268,84.414260,112.926308,87.724792,116.812225
3368,,82.766838,,,101.720428,
3376,,72.714233,76.822332,,98.574387,129.871826
3384,,82.305552,,,105.250443,
3392,69.346294,73.681865,102.104159,107.447922,90.438164,131.061630
3400,,76.387170,,,90.868050,
3408,,82.291365,89.227261,,101.041641,128.206909
3416,,79.943718,,,104.912224,
3424,71.726402,68.866556,71.689493,115.447250,103.515450,91.436569
3432,,76.944568,,,96.478928,
3440,,75.443845,101.291893,,95.184143,132.244446
3448,,75.023858,,,90.536316,
3456,66.326694,54.695737,92.300040,97.283493,87.191536,110.886086
3464,,86.941913,,,98.126945,
3472,,76.599636,90.801101,,98.158989,142.713745
3480,,80.921229,,,99.330490,
3488,59.779919,66.320205,90.315336,84.050301,102.965012,125.719513
3496,,81.140931,,,97.181160,
3504,,85.727346,94.925289,,98.280373,131.704300
3512,,77.419471,,,93.838203,
3520,64.697667,72.514331,91.257664,112.303413,99.999001,125.266220
3528,,74.316384,,,89.000214,
3536,,80.437871,83.554324,,96.455154,105.008278
3544,,70.561888,,,88.353539,
3552,77.432104,62.716571,87.592324,125.471344,85.991989,128.835251
3560,,82.670378,,,100.676216,
3568,,79.066257,100.170392,,101.662598,130.920761
3576,,80.278564,,,95.836189,
3584,52.461859,47.597918,87.516933,79.720917,66.343880,116.767456
3592,,74.757613,,,91.578613,
3600,,75.475956,95.063441,,97.065712,142.032501
3608,,74.856150,,,96.767715,
3616,70.480225,80.941920,88.721598,122.621765,105.087158,124.086258
3624,,67.200315,,,93.127312,
3632,,81.068509,100.872313,,97.724129,134.396362
3640,,88.483176,,,100.353111,
3648,71.729112,69.303318,111.487529,115.745056,92.967659,153.739655
3656,,77.063267,,,92.682770,
3664,,76.694837,93.091836,,96.399849,132.698578
3672,,71.341973,,,87.558708,
3680,77.288929,60.375705,96.252010,124.303413,80.107483,121.105865
3688,,76.947545,,,93.910820,
3696,,72.923767,93.169965,,92.043373,126.379440
3704,,73.683436,,,99.240532,
3712,77.874617,55.553985,78.512449,112.547478,71.037224,98.424210
3720,,76.543540,,,94.868484,
3728,,76.406076,96.812830,,92.150620,140.192978
3736,,83.068049,,,98.661667,
3744,69.228656,71.296774,104.219715,104.687584,96.881187,154.196335
3752,,74.749191,,,92.669640,
3760,,72.058702,98.545482,,97.253105,133.841751
3768,,77.836544,,,92.200546,
3776,68.427834,69.394878,93.795289,92.221596,89.738342,140.783005
3784,,75.998657,,,97.860512,
3792,,78.838828,87.727317,,96.703873,127.919724
3800,,72.377422,,,91.798660,
3808,84.783666,64.546271,91.889924,124.028717,96.983589,132.966141
3816,,77.858707,,,95.031288,
3824,,77.122822,98.052365,,95.160706,137.123184
3832,,76.846300,,,93.431595,
3840,71.520257,70.259519,78.379045,107.882355,105.152702,94.676292
3848,,73.102395,,,92.614738,
3856,,71.047042,108.681273,,96.039902,147.404266
3864,,72.809447,,,93.468651,
3872,78.219843,70.980221,102.671375,107.941071,99.262863,133.759811
3880,,70.297865,,,93.135078,
3888,,77.656622,104.742023,,89.556572,136.907654
3896,,70.944529,,,86.683395,
3904,73.108319,63.239291,110.232238,110.281281,91.210953,136.201614
3912,,80.202072,,,94.364700,
3920,,79.095776,99.800516,,93.332306,134.162292
3928,,73.157654,,,97.358307,
3936,77.023675,60.704619,87.291383,119.435287,82.427696,150.763855
3944,,74.595041,,,91.596291,
3952,,72.951337,108.608204,,91.035721,149.468857
3960,,77.223904,,,94.925194,
3968,80.810807,52.957159,102.412287,118.171227,72.651955,145.533859
3976,,68.686110,,,91.940208,
3984,,65.979390,109.297311,,91.474915,136.910049
3992,,70.119031,,,79.079094,
4000,86.298933,68.682917,102.248179,115.296280,102.199509,142.526871
4008,,78.910909,,,89.656815,
4016,,72.124166,108.412983,,87.526184,142.328613
4024,,74.840276,,,90.038277,
4032,80.247945,64.896681,98.300584,115.419556,80.377701,127.272583
4040,,72.873470,,,91.362198,
4048,,77.634015,96.030951,,95.643936,120.667885
4056,,82.549914,,,93.347427,
4064,71.291030,71.045181,96.840282,110.659340,97.219070,134.007889
4072,,70.640502,,,87.391296,
4080,,78.792636,91.088690,,92.124214,133.156891
4088,,71.829532,,,94.914085,
4096,50.821125,72.636322,60.529963,77.388596,105.793694,82.554970
